LIBELLE;COMMUNE;DEPARTEMEN;X_WGS84;Y_WGS84
Boulazac;BOULAZAC ISLE MANOIRE;DORDOGNE;0.773122390683804;45.17186489281111
Lalande-Eglise;TOULOUSE;HAUTE-GARONNE;1.429055927697945;43.645392206401745
Haybes;HAYBES;ARDENNES;4.705574914362734;50.01196940594156
Genech;GENECH;NORD;3.220479480723978;50.53091976111437
La Valbonne;BELIGNEUX;AIN;5.124313081373071;45.84898731573564
Bauvin-Provin;BAUVIN;NORD;2.90504075604601;50.51167305704527
Ermont-Eaubonne;ERMONT;VAL-D'OISE;2.270063345810828;48.98087579752103
Labege-Innopole;LABEGE;HAUTE-GARONNE;1.51326637657675;43.547049886392934
Vis-a-Marles;MARLES-LES-MINES;PAS-DE-CALAIS;2.516022310523782;50.50414272658824
Avenue-Foch;PARIS;PARIS;2.2755053026993;48.87095631866803
Ste-Colombe-Septveilles;SAINTE-COLOMBE;SEINE-ET-MARNE;3.255707734379226;48.52933650008643
Azay-sur-Cher;MONTLOUIS-SUR-LOIRE;INDRE-ET-LOIRE;0.860084460645466;47.36514009217122
Laifour;LAIFOUR;ARDENNES;4.692175188420022;49.91097533133588
Bazancourt;BAZANCOURT;MARNE;4.174495614115393;49.36137467424595
Montdauphin-Guillestre;EYGLIERS;HAUTES-ALPES;6.615536685768046;44.674572708782506
Chasse-sur-Rhone;CHASSE-SUR-RHONE;ISERE;4.79521302005551;45.582521505331215
Fronville;FRONVILLE;HAUTE-MARNE;5.156134031814641;48.40073145861561
Morlaix;MORLAIX;FINISTERE;-3.832477837161316;48.577981731174525
Le Theil-de-Bretagne;LE THEIL-DE-BRETAGNE;ILLE-ET-VILAINE;-1.432154987081759;47.91872784258159
St-Vallier-sur-Rhone;SAINT-VALLIER;DROME;4.814554754094829;45.18564941774933
Epinay-Villetaneuse;EPINAY-SUR-SEINE;SEINE-SAINT-DENIS;2.327103863071399;48.95906011170955
L'Isthme;SAINT-PIERRE-QUIBERON;MORBIHAN;-3.133734449903005;47.546320517974486
Colombes;COLOMBES;HAUTS-DE-SEINE;2.259343973360624;48.92372212845716
Redon;REDON;ILLE-ET-VILAINE;-2.088521843296661;47.65178482242304
Nancois-Tronville;NANCOIS-SUR-ORNAIN;MEUSE;5.291385355909868;48.7180012345379
Nexon;NEXON;HAUTE-VIENNE;1.17835918654249;45.690902962010014
St-Romain-le-Puy;SAINT-ROMAIN-LE-PUY;LOIRE;4.120823009766296;45.554415326144856
